ID,LANGUAGE_CODE,NAME,STATUS,ISO_CODE,IS_RIGHT_TO_LEFT
1,ENGLISH,English,A,en,N
2,BULGARIAN,&#1041;&#1098;&#1083;&#1075;&#1072;&#1088;&#1089;&#1082;&#1080;,A,bg,N
3,DANISH,Dansk,A,da,N
4,CZECH,čeština,A,cs,N
5,GERMAN,Deutsch,A,de,N
6,SPANISH,Espa&#241;ol,A,es,N
7,FRENCH,Fran&#231;ais,A,fr,N
8,ITALIAN,Italiano,A,it,N
9,HUNGARIAN,Magyar,A,hu,N
10,LITHUANIAN,lietuvių,A,lt,N
11,DUTCH,Nederlands,A,nl,N
12,NORWEGIAN,Norsk,A,no,N
13,POLISH,Polski,A,pl,N
14,PORTUGUESE,Portugu&#234;s,A,pt,N
15,BRAZILIAN,Portugu&#234;s (Brasil),A,pt,N
16,RUSSIAN,&#1056;&#1091;&#1089;&#1089;&#1082;&#1080;&#1081;,A,ru,N
17,ALBANIAN,Shqipe,A,sq,N
18,SLOVENIEN,Slovene,A,sl,N
19,SLOVAK,Slovenčina,A,sk,N
20,SWEDISH,Svenska,A,sv,N
21,TURKISH,T&#252;rk&#231;e,A,tr,N
22,JAPANESE,&#26085;&#26412;&#35486;,A,ja,N
23,CHINESE_SIMP,&#31616;&#20307;&#20013;&#25991;,A,zh,N
24,CHINESE_TRAD,&#32321;&#39636;&#23383;,A,zh,N
25,SERBIAN,Serbian,A,sr,N
26,KOREAN,한국어,A,kr,N
27,HEBREW,&#1506&#1489&#1512&#1497&#1514,A,he,Y
28,ARABIC,&#1575;&#1604;&#1593;&#1585;&#1576;&#1610;&#1577;,A,ar,Y
29,FINNISH,suomi,A,fi,N